Title,Description,Director,Publication_Year,Runtime,Genre
Baby Driver,"After being coerced into working for a crime boss, a young getaway driver finds himself taking part in a heist doomed to fail.",Edgar Wright,2017,113 min,"Action, Crime, Drama"
Only the Brave,"Based on the true story of the Granite Mountain Hotshots, a group of elite firefighters who risk everything to protect a town from a historic wildfire.",Joseph Kosinski,2017,134 min,"Action, Biography, Drama"
Bridge of Spies,"During the Cold War, an American lawyer is recruited to defend an arrested Soviet spy in court, and then help the CIA facilitate an exchange of the spy for the Soviet captured American U2 spy plane pilot, Francis Gary Powers.",Steven Spielberg,2015,142 min,"Drama, History, Thriller"
Incredibles 2,The Incredibles family takes on a new mission which involves a change in family roles: Bob Parr (Mr. Incredible) must manage the house while his wife Helen (Elastigirl) goes out to save the world.,Brad Bird,2018,118 min,"Animation, Action, Adventure"
Moana,"In Ancient Polynesia, when a terrible curse incurred by the Demigod Maui reaches Moana's island, she answers the Ocean's call to seek out the Demigod to set things right.",Ron Clements,2016,107 min,"Animation, Adventure, Comedy"
Sicario,An idealistic FBI agent is enlisted by a government task force to aid in the escalating war against drugs at the border area between the U.S. and Mexico.,Denis Villeneuve,2015,121 min,"Action, Crime, Drama"
Creed,"The former World Heavyweight Champion Rocky Balboa serves as a trainer and mentor to Adonis Johnson, the son of his late friend and former rival Apollo Creed.",Ryan Coogler,2015,133 min,"Drama, Sport"
Leviafan,"In a Russian coastal town, Kolya is forced to fight the corrupt mayor when he is told that his house will be demolished. He recruits a lawyer friend to help, but the man's arrival brings further misfortune for Kolya and his family.",Andrey Zvyagintsev,2014,140 min,"Crime, Drama"
Hell or High Water,A divorced father and his ex-con older brother resort to a desperate scheme in order to save their family's ranch in West Texas.,David Mackenzie,2016,102 min,"Action, Crime, Drama"
Philomena,"A world-weary political journalist picks up the story of a woman's search for her son, who was taken away from her decades ago after she became pregnant and was forced to live in a convent.",Stephen Frears,2013,98 min,"Biography, Comedy, Drama"
Dawn of the Planet of the Apes,A growing nation of genetically evolved apes led by Caesar is threatened by a band of human survivors of the devastating virus unleashed a decade earlier.,Matt Reeves,2014,130 min,"Action, Adventure, Drama"
El cuerpo,A detective searches for the body of a femme fatale which has gone missing from a morgue.,Oriol Paulo,2012,112 min,"Mystery, Thriller"
Serbuan maut,A S.W.A.T. team becomes trapped in a tenement run by a ruthless mobster and his army of killers and thugs.,Gareth Evans,2011,101 min,"Action, Thriller"
End of Watch,"Shot documentary-style, this film follows the daily grind of two young police officers in LA who are partners and friends, and what happens when they meet criminal forces greater than themselves.",David Ayer,2012,109 min,"Action, Crime, Drama"
Kari-gurashi no Arietti,"The Clock family are four-inch-tall people who live anonymously in another family's residence, borrowing simple items to make their home. Life changes for the Clocks when their teenage daughter, Arrietty, is discovered.",Hiromasa Yonebayashi,2010,94 min,"Animation, Adventure, Family"
A Star Is Born,A musician helps a young singer find fame as age and alcoholism send his own career into a downward spiral.,Bradley Cooper,2018,136 min,"Drama, Music, Romance"
True Grit,A stubborn teenager enlists the help of a tough U.S. Marshal to track down her father's murderer.,Ethan Coen,2010,110 min,"Drama, Western"
Hævnen,"The lives of two Danish families cross each other, and an extraordinary but risky friendship comes into bud. But loneliness, frailty and sorrow lie in wait.",Susanne Bier,2010,118 min,"Drama, Romance"
